Feature,Pearson_r,p_value,__index_level_0__
syll_count,-0.3060449400069165,1.4949245915817471e-64,15
n_tokens,-0.30131882713818625,1.5528626223976037e-62,20
n_sentences,-0.276524997710617,1.4636454000200956e-52,19
n_prepositional_chains,-0.26712655846912636,4.864566431388736e-49,74
max_links_len,-0.1331300216894743,4.683678300627638e-13,50
dep_dist_advmod,-0.13294713602080876,5.042537454349407e-13,62
upos_dist_PRON,-0.13160882236236926,8.628397329497192e-13,35
upos_dist_ADV,-0.1299097150868711,1.693182439345044e-12,31
avg_token_per_clause,0.11758996918637402,1.7315646159551379e-10,48
upos_dist_PROPN,0.11746078750139788,1.8132781796858068e-10,33
dep_dist_nsubj,-0.11382574999911443,6.502821272920152e-10,60
dep_dist_flat,0.10758818361888542,5.309746634313746e-09,68
principal_proposition_dist,0.10443403616519928,1.4695720382480708e-08,79
subordinate_proposition_dist,-0.10443403616519928,1.4695720382480708e-08,80
upos_dist_NOUN,0.09852597145863029,9.143255149933852e-08,25
upos_dist_VERB,-0.09575520976001961,2.0802874496938126e-07,28
dep_dist_mark,-0.08761915871685282,2.043430453786517e-06,57
verbal_head_per_sent,-0.08289323740738241,7.055115824747256e-06,46
char_per_tok,0.08013378266651339,1.4119679142162692e-05,24
avg_syll_tok,0.0788901960015619,1.9165570226475732e-05,16
dep_dist_case,0.0750966040694227,4.736622289818276e-05,54
lexical_density,0.07387890780986621,6.278086385569183e-05,37
obj_pre,-0.07328737351910697,7.187980869978026e-05,72
flesch_douma,-0.07279493478916112,8.039163195928298e-05,8
upos_dist_NUM,0.07276062920748207,8.101877990612586e-05,34
avg_subordinate_chain_len,-0.06951361057323541,0.00016652105339786492,78
dep_dist_nmod,0.06880118822777635,0.00019426243037308605,56
verbs_form_dist_Inf,-0.06870796476059894,0.00019819814565026636,39
upos_dist_AUX,-0.0674285063203745,0.0002603624787437556,32
upos_dist_ADP,0.06615591768530368,0.00033996882296986246,26
dep_dist_aux,-0.06310137958805435,0.0006331310037996677,64
dep_dist_cop,-0.0626836472153567,0.0006879322987499215,69
ttr_form_chunks_100,-0.060333025448792786,0.0010876282866229044,21
dep_dist_advcl,-0.05713194961800587,0.001980097173405955,67
obj_post,0.05632774252216631,0.0022915337958518355,73
dep_dist_conj,0.05600292813157906,0.0024295727854511608,66
subordinate_post,-0.05528593399287729,0.002761593513969058,82
upos_dist_DET,0.05509949651062712,0.0028544634688910837,27
brouwer_index,-0.05394184317226883,0.003497783977193183,7
dep_dist_punct,-0.052760005077454944,0.004288065319212358,55
verb_edges_dist_3,0.05258709805855542,0.004416371537734968,84
upos_dist_ADJ,-0.05249018241275805,0.004489799557056088,30
dep_dist_det,0.052164571213889274,0.004744666498136116,53
upos_dist_PUNCT,-0.052020225927400174,0.004861781344279104,29
verbs_form_dist_Part,0.04817713697588082,0.00911370041514909,40
verbal_root_perc,-0.048168323275062847,0.009126424012800267,47
aux_num_pers_dist_Sing+,-0.046197386397038964,0.012402469437387879,45
dep_dist_obl,0.04526994815298993,0.014276473031024134,58
verb_edges_dist_5,-0.0411264906789362,0.026029793687683187,87
sentiment_label_detailed,0.04093842578940843,0.026720256485024012,2
dep_dist_cc,0.040390279749968706,0.02882362636351306,65
subj_pre,-0.04022598570401649,0.02948118714983536,70
subj_post,0.040225985704016476,0.02948118714983536,71
avg_max_depth,0.03662064441536142,0.04750872347261419,52
dep_dist_amod,0.03487004303255449,0.05916795943962953,59
ttr_lemma_chunks_100,-0.03356151996858758,0.06935600476592348,22
aux_tense_dist_Pres,-0.02836871245652461,0.12478997229388646,43
verbs_tense_dist_Pres,-0.027581503061963334,0.1356036953911397,38
dep_dist_obj,-0.025788770651247246,0.1629161503368455,63
avg_links_len,-0.025413581679337403,0.1691239954250159,49
avg_prepositional_chain_len,-0.02469369022495007,0.18152913418642763,75
domain,0.022006632417228927,0.23379496156049986,1
surp_Qwen3-4B,0.021825868483947294,0.23765929196703062,17
prep_dist_1,0.020150103936851415,0.2756366915916696,76
verb_edges_dist_2,-0.017919237029863144,0.3323171140649373,85
subordinate_pre,0.017410126090544382,0.34623906275739474,81
avg_rt_view,0.01718967615628017,0.35238095169226585,6
surp_Qwen3-1.7B,0.016696339801613384,0.36637353522447846,18
subordinate_dist_1,-0.01658716033245202,0.36951640095518445,77
classification,-0.014856113955612132,0.42156011264428117,3
views,0.01467279603180296,0.42731247831039587,4
upos_dist_CCONJ,0.01418276583818932,0.44291173397464445,36
dep_dist_root,0.01386027950469816,0.45335262231209195,61
surp_fietje-2,-0.013495077138502936,0.4653423516873244,11
avg_verb_edges,-0.010218396082718335,0.5804001041201785,86
surp_tweety-7b-dutch-v24a,-0.00891973730002554,0.629421088058778,14
verb_edges_dist_4,0.008909853705811007,0.6298008829603985,83
verbs_form_dist_Fin,0.008443311312416185,0.6478384591055845,41
surp_mGPT,-0.006962429522489717,0.7064321965746022,13
surp_EuroLLM-9B,-0.006364655662119826,0.7306108145380578,12
read_time_sec,-0.005739346690731508,0.7561923385369355,5
LiNT_score2,0.005528510712689113,0.764879862667089,10
aux_form_dist_Fin,-0.004871339158090607,0.79214437207327,44
verbs_num_pers_dist_Sing+,-0.003747816122229561,0.8393329200362497,42
LiNT_score1,0.0035086835468556843,0.849457774520625,9
tokens_per_sent,0.001504654949420179,0.9351257828460292,23
day_of_week,-0.0012487433713187172,0.9461410999656097,0
avg_max_links_len,-1.0046416018976746e-05,0.9995663638641945,51
